Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
VER,1,Red Bull Racing,2.0,80.083,SOFT,5.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,3.0,80.537,SOFT,6.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,4.0,81.032,SOFT,7.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,5.0,80.964,SOFT,8.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,6.0,80.822,SOFT,9.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,7.0,80.76,SOFT,10.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,8.0,81.019,SOFT,11.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,9.0,81.168,SOFT,12.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,10.0,81.163,SOFT,13.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,11.0,81.143,SOFT,14.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,12.0,81.623,SOFT,15.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,15.0,79.63,SOFT,2.0,1,True,7.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,16.0,79.45,SOFT,3.0,1,True,7.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,17.0,80.011,SOFT,4.0,1,False,5.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,18.0,79.786,SOFT,5.0,1,False,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,19.0,80.259,SOFT,6.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,20.0,79.84,SOFT,7.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,21.0,79.911,SOFT,8.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,22.0,79.64,SOFT,9.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,23.0,80.183,SOFT,10.0,1,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,24.0,79.958,SOFT,11.0,1,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,25.0,80.124,SOFT,12.0,1,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,26.0,80.382,SOFT,13.0,1,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,27.0,80.672,SOFT,14.0,1,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,28.0,80.58,SOFT,15.0,1,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,31.0,78.216,MEDIUM,2.0,1,True,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,32.0,78.455,MEDIUM,3.0,1,False,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,33.0,78.727,MEDIUM,4.0,1,False,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,34.0,78.924,MEDIUM,5.0,1,False,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,35.0,79.141,MEDIUM,6.0,1,False,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,36.0,79.218,MEDIUM,7.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,37.0,79.108,MEDIUM,8.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,38.0,79.443,MEDIUM,9.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,39.0,79.65,MEDIUM,10.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,40.0,79.726,MEDIUM,11.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,41.0,79.922,MEDIUM,12.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,42.0,79.963,MEDIUM,13.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,43.0,80.134,MEDIUM,14.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,44.0,79.84,MEDIUM,15.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,45.0,80.301,MEDIUM,16.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,46.0,80.367,MEDIUM,17.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,49.0,77.141,SOFT,5.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,50.0,77.997,SOFT,6.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,51.0,78.734,SOFT,7.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,52.0,78.682,SOFT,8.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,53.0,78.941,SOFT,9.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,54.0,78.584,SOFT,10.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,61.0,78.862,HARD,6.0,1,False,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,62.0,77.019,HARD,7.0,1,True,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,63.0,77.608,HARD,8.0,1,False,4.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,64.0,80.06,HARD,9.0,1,False,5.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,65.0,78.122,HARD,10.0,1,False,5.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,66.0,78.081,HARD,11.0,1,False,5.0,,,3.0,25.0,30.0,50.0
GAS,10,Alpine,2.0,82.663,SOFT,4.0,1,True,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,3.0,82.133,SOFT,5.0,1,True,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,4.0,81.329,SOFT,6.0,1,True,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,5.0,81.681,SOFT,7.0,1,False,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,6.0,81.791,SOFT,8.0,1,False,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,7.0,81.964,SOFT,9.0,1,False,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,8.0,82.313,SOFT,10.0,1,False,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,9.0,82.16,SOFT,11.0,1,False,8.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,12.0,81.664,SOFT,5.0,1,False,14.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,13.0,82.252,SOFT,6.0,1,False,14.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,14.0,82.189,SOFT,7.0,1,False,13.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,15.0,81.939,SOFT,8.0,1,False,12.0,,,8.0,25.0,30.0,50.0
GAS,10,Alpine,16.0,81.645,SOFT,9.0,1,False,12.0,,,8.0,25.0,30.0,50.0
