Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
PIA,81,McLaren,4.0,94.247,MEDIUM,4.0,1,True,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,5.0,93.418,MEDIUM,5.0,1,True,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,6.0,93.917,MEDIUM,6.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,7.0,93.523,MEDIUM,7.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,8.0,93.893,MEDIUM,8.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,9.0,93.5,MEDIUM,9.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,10.0,94.045,MEDIUM,10.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,11.0,93.808,MEDIUM,11.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,12.0,93.77,MEDIUM,12.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,13.0,94.28,MEDIUM,13.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,14.0,94.072,MEDIUM,14.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,15.0,94.149,MEDIUM,15.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,16.0,94.124,MEDIUM,16.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,17.0,94.279,MEDIUM,17.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,18.0,94.16,MEDIUM,18.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,21.0,93.795,HARD,2.0,1,False,4.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,22.0,94.024,HARD,3.0,1,False,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,23.0,93.119,HARD,4.0,1,True,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,24.0,92.76,HARD,5.0,1,True,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,25.0,93.092,HARD,6.0,1,False,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,26.0,92.922,HARD,7.0,1,False,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,27.0,92.875,HARD,8.0,1,False,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,28.0,92.831,HARD,9.0,1,False,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,29.0,92.808,HARD,10.0,1,False,3.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,30.0,92.938,HARD,11.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,31.0,92.774,HARD,12.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,32.0,92.787,HARD,13.0,1,False,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,33.0,92.657,HARD,14.0,1,True,2.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,34.0,93.201,HARD,15.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,35.0,92.555,HARD,16.0,1,True,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,36.0,92.624,HARD,17.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,37.0,92.7,HARD,18.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,38.0,92.663,HARD,19.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,39.0,92.701,HARD,20.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,40.0,92.778,HARD,21.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,41.0,92.987,HARD,22.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,42.0,92.686,HARD,23.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,43.0,92.871,HARD,24.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,44.0,92.815,HARD,25.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,45.0,92.393,HARD,26.0,1,True,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,46.0,93.352,HARD,27.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,47.0,92.669,HARD,28.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,48.0,92.728,HARD,29.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,49.0,92.927,HARD,30.0,1,False,1.0,,,2.0,25.0,30.0,50.0
PIA,81,McLaren,50.0,92.228,HARD,31.0,1,True,1.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,4.0,93.831,MEDIUM,4.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,5.0,93.716,MEDIUM,5.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,6.0,93.564,MEDIUM,6.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,7.0,93.511,MEDIUM,7.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,8.0,93.891,MEDIUM,8.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,9.0,93.798,MEDIUM,9.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,10.0,93.813,MEDIUM,10.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,11.0,94.001,MEDIUM,11.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,12.0,93.96,MEDIUM,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,13.0,93.856,MEDIUM,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,14.0,93.901,MEDIUM,14.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,15.0,93.9,MEDIUM,15.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,16.0,93.758,MEDIUM,16.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,17.0,93.797,MEDIUM,17.0,1,False,1.0,,,1.0,25.0,30.0,50.0
