Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
VER,1,Red Bull Racing,8.0,96.83,INTERMEDIATE,8.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,9.0,94.315,INTERMEDIATE,9.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,10.0,92.65,INTERMEDIATE,10.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,11.0,92.453,INTERMEDIATE,11.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,12.0,91.591,INTERMEDIATE,12.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,13.0,91.271,INTERMEDIATE,13.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,14.0,90.639,INTERMEDIATE,14.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,15.0,90.328,INTERMEDIATE,15.0,1,True,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,16.0,90.592,INTERMEDIATE,16.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,17.0,93.392,INTERMEDIATE,17.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,18.0,92.169,INTERMEDIATE,18.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,19.0,91.939,INTERMEDIATE,19.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,20.0,91.598,INTERMEDIATE,20.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,21.0,91.177,INTERMEDIATE,21.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,22.0,91.04,INTERMEDIATE,22.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,23.0,90.686,INTERMEDIATE,23.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,24.0,90.978,INTERMEDIATE,24.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,25.0,90.845,INTERMEDIATE,25.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,26.0,90.293,INTERMEDIATE,26.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,27.0,89.731,INTERMEDIATE,27.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,28.0,89.411,INTERMEDIATE,28.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,29.0,89.043,INTERMEDIATE,29.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,30.0,88.237,INTERMEDIATE,30.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,31.0,88.127,INTERMEDIATE,31.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,32.0,88.208,INTERMEDIATE,32.0,1,False,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,33.0,88.046,INTERMEDIATE,33.0,12,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,42.0,85.317,MEDIUM,8.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,43.0,83.081,MEDIUM,9.0,1,True,3.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,44.0,86.789,MEDIUM,10.0,12,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,45.0,92.874,MEDIUM,11.0,21,False,1.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,52.0,93.864,INTERMEDIATE,6.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,53.0,90.859,INTERMEDIATE,7.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,54.0,89.1,INTERMEDIATE,8.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,55.0,88.538,INTERMEDIATE,9.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,56.0,87.921,INTERMEDIATE,10.0,1,False,2.0,,,3.0,25.0,30.0,50.0
VER,1,Red Bull Racing,57.0,87.4,INTERMEDIATE,11.0,1,False,2.0,,,3.0,25.0,30.0,50.0
GAS,10,Alpine,8.0,98.441,INTERMEDIATE,8.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,9.0,96.062,INTERMEDIATE,9.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,10.0,95.527,INTERMEDIATE,10.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,11.0,94.702,INTERMEDIATE,11.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,12.0,94.227,INTERMEDIATE,12.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,13.0,93.275,INTERMEDIATE,13.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,14.0,92.859,INTERMEDIATE,14.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,15.0,92.744,INTERMEDIATE,15.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,16.0,92.445,INTERMEDIATE,16.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,17.0,92.795,INTERMEDIATE,17.0,1,False,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,18.0,93.124,INTERMEDIATE,18.0,1,False,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,19.0,92.462,INTERMEDIATE,19.0,1,False,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,20.0,92.327,INTERMEDIATE,20.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,21.0,92.323,INTERMEDIATE,21.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,22.0,92.355,INTERMEDIATE,22.0,1,False,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,23.0,92.438,INTERMEDIATE,23.0,1,False,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,24.0,92.035,INTERMEDIATE,24.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,25.0,91.622,INTERMEDIATE,25.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,26.0,90.928,INTERMEDIATE,26.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,27.0,90.635,INTERMEDIATE,27.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,28.0,90.382,INTERMEDIATE,28.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,29.0,90.051,INTERMEDIATE,29.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,30.0,90.124,INTERMEDIATE,30.0,1,False,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,31.0,89.299,INTERMEDIATE,31.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,32.0,89.383,INTERMEDIATE,32.0,1,False,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,42.0,87.942,HARD,9.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,43.0,85.02,HARD,10.0,1,True,9.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,44.0,88.332,HARD,11.0,12,False,4.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,45.0,92.969,HARD,12.0,21,False,4.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,52.0,96.326,INTERMEDIATE,6.0,1,False,8.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,53.0,92.297,INTERMEDIATE,7.0,1,False,8.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,54.0,94.967,INTERMEDIATE,8.0,1,False,10.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,55.0,92.316,INTERMEDIATE,9.0,1,False,11.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,56.0,90.866,INTERMEDIATE,10.0,1,False,11.0,,,9.0,25.0,30.0,50.0
GAS,10,Alpine,57.0,91.312,INTERMEDIATE,11.0,1,False,11.0,,,9.0,25.0,30.0,50.0
ANT,12,Mercedes,8.0,98.729,INTERMEDIATE,8.0,1,True,13.0,,,16.0,25.0,30.0,50.0
ANT,12,Mercedes,9.0,96.312,INTERMEDIATE,9.0,1,True,13.0,,,16.0,25.0,30.0,50.0
ANT,12,Mercedes,10.0,95.27,INTERMEDIATE,10.0,1,True,13.0,,,16.0,25.0,30.0,50.0
