Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
VER,1,Red Bull Racing,4.0,92.569,nan,,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,5.0,92.133,nan,,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,6.0,92.096,nan,,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,7.0,92.083,nan,,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,8.0,92.583,nan,,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,9.0,92.406,nan,,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,10.0,92.392,nan,,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,11.0,92.595,nan,,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,12.0,92.236,nan,,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,13.0,92.272,nan,,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,14.0,94.727,nan,,1,False,2.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,15.0,93.736,nan,,1,False,2.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,16.0,93.178,nan,,1,False,2.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,17.0,94.857,nan,,1,False,2.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,18.0,93.253,nan,,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,19.0,92.824,nan,,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,20.0,93.284,nan,,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,21.0,92.693,nan,,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,22.0,92.472,nan,,1,False,3.0,,,1.0,25.0,30.0,50.0
