Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
VER,1,Red Bull Racing,2.0,76.418,MEDIUM,5.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,3.0,76.094,MEDIUM,6.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,4.0,75.925,MEDIUM,7.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,5.0,75.901,MEDIUM,8.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,6.0,76.531,MEDIUM,9.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,7.0,76.6,MEDIUM,10.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,8.0,76.64,MEDIUM,11.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,9.0,76.762,MEDIUM,12.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,10.0,76.68,MEDIUM,13.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,11.0,76.991,MEDIUM,14.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,14.0,75.943,HARD,2.0,1,False,8.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,15.0,76.352,HARD,3.0,1,False,5.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,16.0,76.004,HARD,4.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,17.0,75.903,HARD,5.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,18.0,76.005,HARD,6.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,19.0,75.787,HARD,7.0,1,True,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,20.0,75.769,HARD,8.0,1,True,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,21.0,75.715,HARD,9.0,1,True,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,22.0,75.716,HARD,10.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,23.0,75.824,HARD,11.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,24.0,75.774,HARD,12.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,25.0,75.738,HARD,13.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,26.0,75.715,HARD,14.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,27.0,75.464,HARD,15.0,1,True,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,28.0,76.168,HARD,16.0,1,False,3.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,29.0,76.065,HARD,17.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,30.0,76.033,HARD,18.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,31.0,75.825,HARD,19.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,32.0,75.845,HARD,20.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,33.0,76.187,HARD,21.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,34.0,76.052,HARD,22.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,35.0,76.223,HARD,23.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,36.0,76.123,HARD,24.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,39.0,75.243,HARD,2.0,1,True,5.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,40.0,75.451,HARD,3.0,1,False,5.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,41.0,75.291,HARD,4.0,1,False,5.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,42.0,75.347,HARD,5.0,1,False,5.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,43.0,75.077,HARD,6.0,1,True,5.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,44.0,75.399,HARD,7.0,1,False,5.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,45.0,75.05,HARD,8.0,1,True,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,46.0,75.21,HARD,9.0,1,False,4.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,47.0,75.339,HARD,10.0,1,False,3.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,48.0,75.334,HARD,11.0,12,False,3.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,49.0,75.03,HARD,12.0,21,True,3.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,50.0,75.025,HARD,13.0,1,True,3.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,51.0,75.043,HARD,14.0,1,False,3.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,52.0,75.113,HARD,15.0,1,False,3.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,53.0,75.119,HARD,16.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,54.0,74.878,HARD,17.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,55.0,74.747,HARD,18.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,56.0,74.432,HARD,19.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,57.0,74.557,HARD,20.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,58.0,74.953,HARD,21.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,59.0,74.734,HARD,22.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,60.0,74.686,HARD,23.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,61.0,74.491,HARD,24.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,62.0,74.287,HARD,25.0,1,True,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,63.0,74.353,HARD,26.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,64.0,74.404,HARD,27.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,65.0,74.625,HARD,28.0,1,False,2.0,,,2.0,25.0,30.0,50.0
VER,1,Red Bull Racing,66.0,74.394,HARD,29.0,1,False,2.0,,,2.0,25.0,30.0,50.0
GAS,10,Alpine,2.0,79.336,HARD,2.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,3.0,78.835,HARD,3.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,4.0,78.711,HARD,4.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,5.0,78.187,HARD,5.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,6.0,77.86,HARD,6.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,7.0,77.763,HARD,7.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,8.0,77.699,HARD,8.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,9.0,77.827,HARD,9.0,1,False,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,10.0,77.772,HARD,10.0,1,False,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,11.0,77.565,HARD,11.0,1,True,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,12.0,77.584,HARD,12.0,1,False,20.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,13.0,77.9,HARD,13.0,1,False,19.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,14.0,78.075,HARD,14.0,1,False,18.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,15.0,77.851,HARD,15.0,1,False,18.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,16.0,78.04,HARD,16.0,1,False,17.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,17.0,77.727,HARD,17.0,1,False,17.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,18.0,77.145,HARD,18.0,1,True,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,19.0,78.269,HARD,19.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,20.0,77.802,HARD,20.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,21.0,78.89,HARD,21.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,22.0,78.066,HARD,22.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,23.0,78.444,HARD,23.0,1,False,15.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,24.0,78.001,HARD,24.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,25.0,77.219,HARD,25.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,26.0,77.451,HARD,26.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,27.0,77.61,HARD,27.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,28.0,77.678,HARD,28.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,29.0,77.877,HARD,29.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,30.0,77.687,HARD,30.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,31.0,77.578,HARD,31.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,32.0,77.98,HARD,32.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,33.0,77.504,HARD,33.0,1,False,14.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,34.0,77.923,HARD,34.0,1,False,15.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,35.0,78.614,HARD,35.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,36.0,77.242,HARD,36.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,37.0,77.58,HARD,37.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,38.0,78.104,HARD,38.0,1,False,15.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,39.0,77.082,HARD,39.0,1,True,15.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,40.0,77.046,HARD,40.0,1,True,15.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,41.0,77.138,HARD,41.0,1,False,15.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,42.0,77.399,HARD,42.0,1,False,16.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,43.0,77.752,HARD,43.0,1,False,17.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,44.0,78.503,HARD,44.0,1,False,18.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,45.0,78.296,HARD,45.0,1,False,19.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,46.0,77.699,HARD,46.0,1,False,18.0,,,20.0,25.0,30.0,50.0
GAS,10,Alpine,47.0,77.224,HARD,47.0,1,False,18.0,,,20.0,25.0,30.0,50.0
