Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
PIA,81,McLaren,2.0,97.492,SOFT,5.0,1,True,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,3.0,98.083,SOFT,6.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,4.0,98.133,SOFT,7.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,5.0,98.043,SOFT,8.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,6.0,98.363,SOFT,9.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,7.0,98.498,SOFT,10.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,8.0,98.567,SOFT,11.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,9.0,98.8,SOFT,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,10.0,98.549,SOFT,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,11.0,98.681,SOFT,14.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,12.0,99.028,SOFT,15.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,13.0,98.763,SOFT,16.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,16.0,98.063,MEDIUM,2.0,1,False,3.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,17.0,97.733,MEDIUM,3.0,1,False,3.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,18.0,97.688,MEDIUM,4.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,19.0,97.891,MEDIUM,5.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,20.0,97.504,MEDIUM,6.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,21.0,97.712,MEDIUM,7.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,22.0,97.142,MEDIUM,8.0,1,True,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,23.0,97.933,MEDIUM,9.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,24.0,97.634,MEDIUM,10.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,25.0,97.811,MEDIUM,11.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,26.0,97.39,MEDIUM,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,27.0,97.579,MEDIUM,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,28.0,97.693,MEDIUM,14.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,29.0,97.677,MEDIUM,15.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,30.0,97.811,MEDIUM,16.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,31.0,97.556,MEDIUM,17.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,36.0,95.14,MEDIUM,4.0,1,True,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,37.0,95.375,MEDIUM,5.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,38.0,95.997,MEDIUM,6.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,39.0,96.174,MEDIUM,7.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,40.0,96.36,MEDIUM,8.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,41.0,96.326,MEDIUM,9.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,42.0,96.249,MEDIUM,10.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,43.0,96.118,MEDIUM,11.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,44.0,96.289,MEDIUM,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,45.0,96.035,MEDIUM,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,46.0,95.898,MEDIUM,14.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,47.0,96.09,MEDIUM,15.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,48.0,96.357,MEDIUM,16.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,49.0,96.815,MEDIUM,17.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,50.0,96.263,MEDIUM,18.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,51.0,96.105,MEDIUM,19.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,52.0,95.961,MEDIUM,20.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,53.0,96.333,MEDIUM,21.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,54.0,96.229,MEDIUM,22.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,55.0,96.259,MEDIUM,23.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,56.0,96.243,MEDIUM,24.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,57.0,96.588,MEDIUM,25.0,1,False,1.0,,,1.0,25.0,30.0,50.0
RUS,63,Mercedes,2.0,97.817,SOFT,5.0,1,True,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,3.0,98.286,SOFT,6.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,4.0,98.378,SOFT,7.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,5.0,98.604,SOFT,8.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,6.0,98.467,SOFT,9.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,7.0,98.686,SOFT,10.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,8.0,99.007,SOFT,11.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,9.0,98.9,SOFT,12.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,10.0,98.889,SOFT,13.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,11.0,99.152,SOFT,14.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,12.0,99.098,SOFT,15.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,15.0,97.828,MEDIUM,2.0,1,False,4.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,16.0,98.067,MEDIUM,3.0,1,False,4.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,17.0,98.193,MEDIUM,4.0,1,False,4.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,18.0,98.383,MEDIUM,5.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,19.0,98.162,MEDIUM,6.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,20.0,98.148,MEDIUM,7.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,21.0,97.841,MEDIUM,8.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,22.0,97.806,MEDIUM,9.0,1,True,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,23.0,98.018,MEDIUM,10.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,24.0,97.784,MEDIUM,11.0,1,True,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,25.0,98.076,MEDIUM,12.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,26.0,98.045,MEDIUM,13.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,27.0,97.929,MEDIUM,14.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,28.0,97.996,MEDIUM,15.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,29.0,97.777,MEDIUM,16.0,1,True,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,30.0,97.653,MEDIUM,17.0,1,True,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,31.0,98.084,MEDIUM,18.0,1,False,2.0,,,2.0,25.0,30.0,50.0
RUS,63,Mercedes,36.0,95.518,SOFT,7.0,1,True,2.0,,,2.0,25.0,30.0,50.0
NOR,4,McLaren,2.0,97.91,SOFT,5.0,1,True,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,3.0,98.417,SOFT,6.0,1,False,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,4.0,98.235,SOFT,7.0,1,False,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,5.0,98.604,SOFT,8.0,1,False,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,6.0,98.57,SOFT,9.0,1,False,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,7.0,98.468,SOFT,10.0,1,False,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,8.0,98.97,SOFT,11.0,1,False,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,9.0,99.104,SOFT,12.0,1,False,3.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,12.0,97.867,MEDIUM,2.0,1,True,11.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,13.0,97.453,MEDIUM,3.0,1,True,10.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,14.0,98.773,MEDIUM,4.0,1,False,9.0,,,6.0,25.0,30.0,50.0
NOR,4,McLaren,15.0,97.747,MEDIUM,5.0,1,False,6.0,,,6.0,25.0,30.0,50.0
