Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
PIA,81,McLaren,2.0,97.551,MEDIUM,2.0,1,True,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,3.0,97.689,MEDIUM,3.0,12,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,4.0,97.804,MEDIUM,4.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,5.0,98.082,MEDIUM,5.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,6.0,97.539,MEDIUM,6.0,12,True,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,7.0,97.898,MEDIUM,7.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,8.0,98.193,MEDIUM,8.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,9.0,98.199,MEDIUM,9.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,10.0,97.994,MEDIUM,10.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,11.0,98.124,MEDIUM,11.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,12.0,98.113,MEDIUM,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,13.0,97.955,MEDIUM,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,16.0,97.407,HARD,2.0,1,True,2.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,17.0,96.891,HARD,3.0,1,True,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,18.0,97.171,HARD,4.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,19.0,97.211,HARD,5.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,20.0,97.408,HARD,6.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,21.0,97.985,HARD,7.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,22.0,97.738,HARD,8.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,23.0,97.232,HARD,9.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,24.0,96.97,HARD,10.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,25.0,97.185,HARD,11.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,26.0,97.186,HARD,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,27.0,97.112,HARD,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
PIA,81,McLaren,28.0,97.001,HARD,14.0,1,False,1.0,,,1.0,25.0,30.0,50.0
