Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
NOR,4,McLaren,4.0,70.254,MEDIUM,4.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,5.0,69.858,MEDIUM,5.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,6.0,69.46,MEDIUM,6.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,7.0,69.313,MEDIUM,7.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,8.0,69.394,MEDIUM,8.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,9.0,69.488,MEDIUM,9.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,10.0,69.952,MEDIUM,10.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,11.0,70.946,MEDIUM,11.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,12.0,70.184,MEDIUM,12.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,13.0,70.046,MEDIUM,13.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,14.0,71.318,MEDIUM,14.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,15.0,71.274,MEDIUM,15.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,16.0,70.937,MEDIUM,16.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,17.0,70.841,MEDIUM,17.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,18.0,70.789,MEDIUM,18.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,19.0,71.043,MEDIUM,19.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,22.0,69.921,HARD,2.0,1,False,4.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,23.0,70.012,HARD,3.0,1,False,4.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,24.0,69.829,HARD,4.0,1,False,4.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,25.0,69.645,HARD,5.0,1,False,3.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,26.0,69.62,HARD,6.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,27.0,69.522,HARD,7.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,28.0,69.528,HARD,8.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,29.0,69.494,HARD,9.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,30.0,69.641,HARD,10.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,31.0,69.546,HARD,11.0,12,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,32.0,69.546,HARD,12.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,33.0,69.602,HARD,13.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,34.0,69.561,HARD,14.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,35.0,69.377,HARD,15.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,36.0,69.309,HARD,16.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,37.0,69.779,HARD,17.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,38.0,69.723,HARD,18.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,39.0,69.955,HARD,19.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,40.0,70.682,HARD,20.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,41.0,69.899,HARD,21.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,42.0,69.808,HARD,22.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,43.0,69.638,HARD,23.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,44.0,69.641,HARD,24.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,45.0,70.044,HARD,25.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,46.0,69.677,HARD,26.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,47.0,69.97,HARD,27.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,48.0,70.073,HARD,28.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,49.0,70.072,HARD,29.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,50.0,70.221,HARD,30.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,51.0,70.292,HARD,31.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,54.0,68.989,MEDIUM,2.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,55.0,69.357,MEDIUM,3.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,56.0,68.527,MEDIUM,4.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,57.0,68.552,MEDIUM,5.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,58.0,68.326,MEDIUM,6.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,59.0,68.435,MEDIUM,7.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,60.0,68.678,MEDIUM,8.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,61.0,68.272,MEDIUM,9.0,1,True,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,62.0,68.665,MEDIUM,10.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,63.0,68.698,MEDIUM,11.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,64.0,68.655,MEDIUM,12.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,65.0,68.754,MEDIUM,13.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,66.0,69.043,MEDIUM,14.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,67.0,69.1,MEDIUM,15.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,68.0,69.46,MEDIUM,16.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,69.0,69.844,MEDIUM,17.0,1,False,1.0,,,1.0,16.99,16.68,74
NOR,4,McLaren,70.0,69.431,MEDIUM,18.0,1,False,1.0,,,1.0,16.99,16.68,74
PIA,81,McLaren,4.0,70.527,MEDIUM,4.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,5.0,69.937,MEDIUM,5.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,6.0,69.34,MEDIUM,6.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,7.0,69.445,MEDIUM,7.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,8.0,69.454,MEDIUM,8.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,9.0,69.271,MEDIUM,9.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,10.0,69.849,MEDIUM,10.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,11.0,71.008,MEDIUM,11.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,12.0,70.441,MEDIUM,12.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,13.0,69.995,MEDIUM,13.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,14.0,70.68,MEDIUM,14.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,15.0,71.748,MEDIUM,15.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,16.0,70.889,MEDIUM,16.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,17.0,71.064,MEDIUM,17.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,18.0,70.709,MEDIUM,18.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,19.0,70.863,MEDIUM,19.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,20.0,70.951,MEDIUM,20.0,1,False,1.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,21.0,70.624,MEDIUM,21.0,1,False,1.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,22.0,70.938,MEDIUM,22.0,1,False,1.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,23.0,71.249,MEDIUM,23.0,1,False,1.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,26.0,69.854,HARD,2.0,1,False,3.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,27.0,69.52,HARD,3.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,28.0,69.519,HARD,4.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,29.0,69.434,HARD,5.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,30.0,69.343,HARD,6.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,31.0,69.348,HARD,7.0,12,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,32.0,69.449,HARD,8.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,33.0,69.44,HARD,9.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,34.0,69.196,HARD,10.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,35.0,69.443,HARD,11.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,36.0,69.46,HARD,12.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,37.0,69.482,HARD,13.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,38.0,69.273,HARD,14.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,39.0,69.437,HARD,15.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,40.0,69.637,HARD,16.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,41.0,69.737,HARD,17.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,42.0,69.8,HARD,18.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,43.0,70.103,HARD,19.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,44.0,69.714,HARD,20.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,45.0,70.151,HARD,21.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,46.0,70.048,HARD,22.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,47.0,69.471,HARD,23.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,48.0,70.621,HARD,24.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,49.0,70.2,HARD,25.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,50.0,70.073,HARD,26.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,51.0,70.114,HARD,27.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,52.0,70.014,HARD,28.0,1,False,1.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,55.0,68.558,MEDIUM,2.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,56.0,68.283,MEDIUM,3.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,57.0,68.739,MEDIUM,4.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,58.0,68.157,MEDIUM,5.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,59.0,67.924,MEDIUM,6.0,1,True,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,60.0,68.085,MEDIUM,7.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,61.0,68.162,MEDIUM,8.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,62.0,68.372,MEDIUM,9.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,63.0,68.903,MEDIUM,10.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,64.0,68.952,MEDIUM,11.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,65.0,68.49,MEDIUM,12.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,66.0,69.037,MEDIUM,13.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,67.0,69.087,MEDIUM,14.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,68.0,69.273,MEDIUM,15.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,69.0,69.468,MEDIUM,16.0,1,False,2.0,,,3.0,16.99,16.68,74
PIA,81,McLaren,70.0,70.782,MEDIUM,17.0,1,False,2.0,,,3.0,16.99,16.68,74
LEC,16,Ferrari,4.0,70.935,MEDIUM,4.0,1,True,3.0,,,2.0,16.99,16.68,74
