Driver,DriverNumber,Team,LapNumber,LapTime,Compound,TyreLife,TrackStatus,IsPersonalBest,Position,PitInTime,PitOutTime,QualifyingPosition,AirTemp,TrackTemp,Humidity
VER,1,Red Bull Racing,2.0,93.943,MEDIUM,2.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,3.0,93.639,MEDIUM,3.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,4.0,93.744,MEDIUM,4.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,5.0,93.776,MEDIUM,5.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,6.0,93.646,MEDIUM,6.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,7.0,93.526,MEDIUM,7.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,8.0,93.536,MEDIUM,8.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,9.0,93.529,MEDIUM,9.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,10.0,93.555,MEDIUM,10.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,11.0,93.498,MEDIUM,11.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,12.0,93.643,MEDIUM,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,13.0,93.64,MEDIUM,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,14.0,93.38,MEDIUM,14.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,15.0,93.368,MEDIUM,15.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,16.0,93.431,MEDIUM,16.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,17.0,93.542,MEDIUM,17.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,18.0,93.353,MEDIUM,18.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,19.0,93.358,MEDIUM,19.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,20.0,93.064,MEDIUM,20.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,23.0,92.682,HARD,2.0,1,True,5.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,24.0,92.291,HARD,3.0,1,True,4.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,25.0,92.506,HARD,4.0,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,26.0,92.448,HARD,5.0,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,27.0,92.346,HARD,6.0,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,28.0,92.463,HARD,7.0,1,False,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,29.0,92.148,HARD,8.0,1,True,3.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,30.0,92.646,HARD,9.0,1,False,2.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,31.0,91.734,HARD,10.0,1,True,2.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,32.0,92.033,HARD,11.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,33.0,91.814,HARD,12.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,34.0,91.782,HARD,13.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,35.0,92.01,HARD,14.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,36.0,91.758,HARD,15.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,37.0,91.739,HARD,16.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,38.0,91.788,HARD,17.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,39.0,91.779,HARD,18.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,40.0,91.513,HARD,19.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,41.0,91.58,HARD,20.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,42.0,91.468,HARD,21.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,43.0,91.441,HARD,22.0,1,True,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,44.0,91.601,HARD,23.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,45.0,91.604,HARD,24.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,46.0,91.467,HARD,25.0,1,False,1.0,,,1.0,25.0,30.0,50.0
VER,1,Red Bull Racing,47.0,91.377,HARD,26.0,1,True,1.0,,,1.0,25.0,30.0,50.0
